mean/var	short name(1-7)	long name	start	end	group id
Mean	charge	Charge Properties	4	8	1
Mean	aa	Amino Acid	9	17	2
Mean	motif	Motifs	18	62	3
Mean	repeat	Repeats and Complexity	63	79	4
Mean	physic	Pysicochemical Property	80	88	5
Mean	phasep	Phase Separation	89	91	6
Log Variance	charge	Charge Properties	92	96	7
Log Variance	aa	Amino Acid	97	105	8
Log Variance	motif	Motifs	106	150	9
Log Variance	repeat	Repeats and Complexity	151	167	10
Log Variance	physic	Pysicochemical Property	168	176	11
Log Variance	phasep	Phase Separation	177	179	12
